size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1987273518, 30.888, 0.150966, 0.150851, 0.150180, 0.154744, 0.160189, 0.151367, 0.150764, 
30208, 14.883, 0.153128, 0.150596, 0.150323, 0.154702, 0.160483, 0.150621, 0.150284, 
192, 7.585, 0.153677, 0.150035, 0.150266, 0.155743, 0.153730, 0.150130, 0.150369, 
384, 8.585, 0.151494, 0.150286, 0.150349, 0.155226, 0.151167, 0.150866, 0.150385, 
480, 8.907, 0.152257, 0.153146, 0.150720, 0.150879, 0.156123, 0.150377, 0.150210, 
640, 9.322, 0.153859, 0.150250, 0.150101, 0.152551, 0.158756, 0.150323, 0.150897, 
768, 9.585, 0.150431, 0.150661, 0.150617, 0.154011, 0.150870, 0.150890, 0.151255, 
800, 9.644, 0.153249, 0.151292, 0.150786, 0.158501, 0.153603, 0.150533, 0.150617, 
2400, 11.229, 0.151030, 0.151382, 0.151382, 0.160386, 0.155478, 0.150321, 0.151020, 
9216, 13.170, 0.153401, 0.150357, 0.150357, 0.157972, 0.157300, 0.151528, 0.150855, 
