size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.002000, 0.050000, 0.277000, 0.001000, 0.002000, 0.001000, 0.001000, 
32, 5.000, 0.003000, 0.159000, 7.589000, 0.001000, 0.003000, 0.002000, 0.001000, 
64, 6.000, 0.003000, 0.041000, 24.694000, 0.002000, 0.004000, 0.002000, 0.002000, 
128, 7.000, 0.004000, 0.067000, 46.670000, 0.001000, 0.010000, 0.003000, 0.002000, 
256, 8.000, 0.006000, 0.047000, 73.373000, 0.002000, 0.013000, 0.004000, 0.003000, 
512, 9.000, 0.011000, 0.047000, 103.609000, 0.003000, 0.026000, 0.007000, 0.006000, 
1024, 10.000, 0.020000, 0.038000, 135.727000, 0.004000, 0.044000, 0.011000, 0.010000, 
2048, 11.000, 0.040000, 0.045000, 178.795000, 0.006000, 0.108000, 0.021000, 0.019000, 
4096, 12.000, 0.076000, 0.055000, 0.055000, 0.012000, 0.192000, 0.050000, 0.037000, 
8192, 13.000, 0.189000, 0.143000, 0.143000, 0.036000, 0.368000, 0.085000, 0.087000, 
16384, 14.000, 0.360000, 0.148000, 0.148000, 0.043000, 0.710000, 0.134000, 0.132000, 
32768, 15.000, 0.658000, 0.166000, 0.166000, 0.099000, 1.419000, 0.280000, 0.282000, 
65536, 16.000, 1.295000, 0.207000, 0.207000, 0.183000, 2.969000, 0.705000, 0.526000, 
131072, 17.000, 2.582000, 0.278000, 0.278000, 0.362000, 6.149000, 1.455000, 1.125000, 
262144, 18.000, 4.971000, 0.532000, 0.532000, 0.640000, 12.799000, 2.895000, 2.178000, 
524288, 19.000, 9.632000, 2.747000, 2.747000, 1.296000, 24.530000, 5.005000, 4.279000, 
1048576, 20.000, 18.693000, 4.159000, 4.159000, 2.575000, 47.649000, 9.688000, 8.153000, 
