size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 1.801995, 0.900918, 0.933027, 2.570677, 1.999655, 0.806017, 1.000000, 
32, 5.000, 2.139658, 0.901025, 0.399987, 2.384292, 3.088157, 0.836724, 1.000000, 
64, 6.000, 2.027332, 0.481610, 0.416448, 2.666094, 3.192580, 0.784398, 1.000000, 
128, 7.000, 1.914693, 0.434777, 0.371874, 3.249612, 4.231295, 0.799862, 1.000000, 
256, 8.000, 2.279138, 0.472638, 0.416182, 3.509128, 3.905169, 0.819721, 1.000000, 
512, 9.000, 2.290793, 0.431274, 0.392668, 3.246320, 4.660266, 0.918884, 1.000000, 
1024, 10.000, 2.598112, 0.472475, 0.428268, 3.944358, 4.105910, 0.846949, 1.000000, 
2048, 11.000, 2.210331, 0.440998, 0.405895, 3.428888, 4.282085, 0.854646, 1.000000, 
4096, 12.000, 2.484776, 0.606843, 0.606843, 3.280282, 3.450793, 0.894567, 1.000000, 
8192, 13.000, 2.118762, 0.722972, 0.722972, 3.257020, 3.688467, 0.895262, 1.000000, 
16384, 14.000, 2.633278, 0.761602, 0.761602, 3.449514, 3.432874, 0.899908, 1.000000, 
32768, 15.000, 2.205759, 0.660990, 0.660990, 2.957020, 3.475633, 0.907778, 1.000000, 
65536, 16.000, 2.402554, 0.658564, 0.658564, 3.112460, 3.391460, 0.896626, 1.000000, 
131072, 17.000, 1.809776, 0.697558, 0.697558, 2.401765, 3.187215, 0.934602, 1.000000, 
262144, 18.000, 1.930485, 0.958132, 0.958132, 2.471159, 3.361572, 0.925203, 1.000000, 
524288, 19.000, 1.768471, 1.924130, 1.924130, 2.424814, 3.918650, 0.936956, 1.000000, 
1048576, 20.000, 2.585253, 1.963454, 1.963454, 2.662415, 4.699160, 0.933182, 1.000000, 
