size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 1124420.000000, 2197730.000000, 2095510.000000, 766650.000000, 1022200.000000, 2453280.000000, 1993290.000000, 
32, 5.000, 470212.000000, 1103976.000000, 2453280.000000, 429324.000000, 327104.000000, 1185752.000000, 981312.000000, 
64, 6.000, 272576.000000, 1132894.000000, 1303254.000000, 204432.000000, 170360.000000, 698476.000000, 545152.000000, 
128, 7.000, 138700.000000, 613200.000000, 715400.000000, 83950.000000, 65700.000000, 332150.000000, 266450.000000, 
256, 8.000, 62283.000000, 300236.000000, 340161.000000, 41522.000000, 36731.000000, 172476.000000, 142133.000000, 
512, 9.000, 27651.000000, 144636.000000, 158816.000000, 19852.000000, 13471.000000, 68064.000000, 62392.000000, 
1024, 10.000, 12122.000000, 66033.000000, 73051.000000, 7975.000000, 7656.000000, 37004.000000, 31262.000000, 
2048, 11.000, 5510.000000, 27405.000000, 29870.000000, 3625.000000, 2900.000000, 14210.000000, 12180.000000, 
4096, 12.000, 2310.000000, 9240.000000, 9240.000000, 1716.000000, 1650.000000, 6270.000000, 5610.000000, 
8192, 13.000, 1140.000000, 3330.000000, 3330.000000, 750.000000, 660.000000, 2670.000000, 2400.000000, 
16384, 14.000, 462.000000, 1596.000000, 1596.000000, 350.000000, 364.000000, 1344.000000, 1218.000000, 
32768, 15.000, 222.000000, 744.000000, 744.000000, 168.000000, 144.000000, 540.000000, 492.000000, 
65536, 16.000, 96.000000, 345.000000, 345.000000, 75.000000, 69.000000, 255.000000, 228.000000, 
131072, 17.000, 44.000000, 114.000000, 114.000000, 33.000000, 25.000000, 85.000000, 80.000000, 
262144, 18.000, 21.000000, 41.000000, 41.000000, 16.000000, 12.000000, 43.000000, 40.000000, 
524288, 19.000, 10.000000, 10.000000, 10.000000, 8.000000, 5.000000, 19.000000, 18.000000, 
1048576, 20.000, 4.000000, 5.000000, 5.000000, 4.000000, 2.000000, 9.000000, 9.000000, 
