size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 4612.650309, 9226.103783, 8908.652735, 3233.381879, 4156.736665, 10312.435223, 8311.976961, 
32, 5.000, 4877.243525, 11581.939545, 26089.876438, 4376.837598, 3379.239009, 12471.999842, 10435.603765, 
64, 6.000, 6840.720742, 28796.098310, 33301.805067, 5201.797592, 4343.956015, 17680.372309, 13868.427650, 
128, 7.000, 8275.744499, 36445.281717, 42609.941901, 4876.099597, 3744.828113, 19810.314988, 15845.487068, 
256, 8.000, 8463.082803, 40809.937479, 46345.680300, 5496.652123, 4939.205526, 23530.683010, 19288.361848, 
512, 9.000, 8334.476380, 44270.150449, 48622.634093, 5881.242108, 4096.885345, 20778.081843, 19092.488976, 
1024, 10.000, 8191.891874, 45046.394905, 49696.208553, 5395.919230, 5183.575991, 25129.384301, 21283.350841, 
2048, 11.000, 8206.623252, 41132.879396, 44689.744577, 5290.147049, 4236.124079, 21224.366828, 18139.517542, 
4096, 12.000, 7365.960180, 30160.608838, 0.000000, 5579.616580, 5303.964527, 20460.013145, 18302.925227, 
8192, 13.000, 7998.302907, 23439.903764, 0.000000, 5203.014768, 4594.455593, 18929.282224, 16946.717942, 
16384, 14.000, 7001.348582, 24207.908481, 0.000000, 5344.730938, 5370.628449, 20487.349575, 18436.784352, 
32768, 15.000, 7251.484622, 24198.388057, 0.000000, 5409.350619, 4602.157417, 17620.128124, 15995.280017, 
65536, 16.000, 6593.564902, 24054.225928, 0.000000, 5089.581796, 4670.898069, 17667.141073, 15840.985940, 
131072, 17.000, 6487.982900, 16832.832094, 0.000000, 4888.925295, 3684.037882, 12563.700407, 11742.095105, 
262144, 18.000, 6385.968331, 12867.118401, 0.000000, 4988.797759, 3667.370739, 13324.891542, 12328.050111, 
524288, 19.000, 6520.440130, 5993.052456, 0.000000, 4755.475089, 2942.653905, 12307.150019, 11531.260997, 
1048576, 20.000, 4343.773237, 5719.391067, 0.000000, 4217.881960, 2389.753407, 12033.770920, 11229.796399, 
