size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.156012, 0.152453, 0.150542, 0.151747, 0.157385, 0.152253, 0.153478, 
32, 5.000, 0.154255, 0.152510, 0.150451, 0.156944, 0.154877, 0.152117, 0.150456, 
64, 6.000, 0.153009, 0.151073, 0.150277, 0.150913, 0.150596, 0.151702, 0.150946, 
128, 7.000, 0.150168, 0.150754, 0.150434, 0.154261, 0.157196, 0.150228, 0.150667, 
256, 8.000, 0.150720, 0.150670, 0.150316, 0.154707, 0.152302, 0.150115, 0.150914, 
512, 9.000, 0.152878, 0.150549, 0.150511, 0.155542, 0.151516, 0.150947, 0.150584, 
1024, 10.000, 0.151527, 0.150107, 0.150523, 0.151344, 0.151242, 0.150788, 0.150410, 
2048, 11.000, 0.151255, 0.150094, 0.150574, 0.154370, 0.154224, 0.150828, 0.151267, 
4096, 12.000, 0.154143, 0.150582, 0.150582, 0.151166, 0.152906, 0.150627, 0.150655, 
8192, 13.000, 0.151789, 0.151294, 0.151294, 0.153511, 0.152983, 0.150214, 0.150820, 
16384, 14.000, 0.151359, 0.151225, 0.151225, 0.150207, 0.155462, 0.150474, 0.151534, 
32768, 15.000, 0.150476, 0.151122, 0.151122, 0.152653, 0.153795, 0.150635, 0.151187, 
65536, 16.000, 0.152669, 0.150393, 0.150393, 0.154518, 0.154899, 0.151347, 0.150922, 
131072, 17.000, 0.151113, 0.150906, 0.150906, 0.150404, 0.151208, 0.150751, 0.151811, 
262144, 18.000, 0.155169, 0.150354, 0.150354, 0.151334, 0.154397, 0.152271, 0.153101, 
524288, 19.000, 0.152773, 0.166217, 0.166217, 0.167579, 0.169260, 0.153787, 0.155496, 
1048576, 20.000, 0.193118, 0.183337, 0.183337, 0.198882, 0.175512, 0.156845, 0.168074, 
