size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 0.002000, 2.838000, 126.093000, 0.012000, 0.036000, 0.002000, 0.001000, 
30323, 14.888, 0.003000, 2.794000, 228.135000, 0.002000, 0.037000, 0.002000, 0.001000, 
192, 7.585, 0.003000, 2.257000, 218.172000, 0.002000, 0.012000, 0.002000, 0.001000, 
384, 8.585, 0.005000, 2.756000, 358.421000, 0.002000, 0.019000, 0.003000, 0.003000, 
480, 8.907, 0.005000, 5.289000, 624.400000, 0.002000, 0.020000, 0.004000, 0.003000, 
640, 9.322, 0.006000, 4.458000, 507.426000, 0.004000, 0.036000, 0.004000, 0.004000, 
768, 9.585, 0.007000, 4.011000, 504.457000, 0.004000, 0.036000, 0.004000, 0.004000, 
800, 9.644, 0.008000, 5.630000, 503.367000, 0.004000, 0.036000, 0.005000, 0.004000, 
2400, 11.229, 0.021000, 9.468000, 9.468000, 0.014000, 0.151000, 0.010000, 0.010000, 
9216, 13.170, 0.093000, 6.692000, 6.692000, 0.063000, 0.602000, 0.035000, 0.034000, 
