size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 2.284456, 1.838905, 0.911800, 3.323260, 3.874726, 0.901411, 1.000000, 
30323, 14.888, 2.407373, 0.992315, 0.917950, 5.497397, 6.769796, 0.888427, 1.000000, 
192, 7.585, 2.380786, 1.280015, 1.063618, 4.824632, 5.913813, 0.904768, 1.000000, 
384, 8.585, 2.824128, 1.383893, 1.045318, 4.953413, 5.445886, 0.890677, 1.000000, 
480, 8.907, 2.985210, 1.221362, 1.013438, 3.906539, 4.288127, 0.880236, 1.000000, 
640, 9.322, 3.023649, 1.289259, 1.053893, 6.328288, 8.505624, 0.891532, 1.000000, 
768, 9.585, 2.795469, 1.277155, 1.015273, 5.072688, 6.824092, 0.851404, 1.000000, 
800, 9.644, 3.117909, 1.115942, 1.007386, 4.772729, 6.413241, 0.891923, 1.000000, 
2400, 11.229, 3.539759, 1.549369, 1.549369, 7.442061, 8.853829, 0.925868, 1.000000, 
9216, 13.170, 2.946002, 1.279024, 1.279024, 7.535812, 8.531214, 0.903209, 1.000000, 
