size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 257972.000000, 316602.000000, 621478.000000, 175890.000000, 152438.000000, 633204.000000, 574574.000000, 
30323, 14.888, 162810.000000, 397980.000000, 428130.000000, 72360.000000, 60300.000000, 440190.000000, 391950.000000, 
192, 7.585, 145725.000000, 266325.000000, 321600.000000, 75375.000000, 60300.000000, 376875.000000, 341700.000000, 
384, 8.585, 61544.000000, 123088.000000, 162652.000000, 35168.000000, 32970.000000, 191226.000000, 171444.000000, 
480, 8.907, 45708.000000, 110754.000000, 133608.000000, 35160.000000, 31644.000000, 152946.000000, 135366.000000, 
640, 9.322, 35160.000000, 83212.000000, 100792.000000, 17580.000000, 12892.000000, 119544.000000, 106652.000000, 
768, 9.585, 31264.000000, 66436.000000, 84022.000000, 17586.000000, 12701.000000, 99654.000000, 84999.000000, 
800, 9.644, 26264.000000, 72226.000000, 79730.000000, 16884.000000, 13132.000000, 90048.000000, 80668.000000, 
2400, 11.229, 6885.000000, 15555.000000, 15555.000000, 3315.000000, 2805.000000, 26010.000000, 24225.000000, 
9216, 13.170, 1680.000000, 3808.000000, 3808.000000, 672.000000, 616.000000, 5320.000000, 4816.000000, 
