size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 5226.846329, 6493.267384, 13095.535233, 3593.009455, 3081.637619, 13246.452838, 11940.505714, 
30323, 14.888, 6303.315954, 15291.972545, 16530.807759, 2760.296273, 2241.491904, 17080.117530, 15174.448925, 
192, 7.585, 6924.199744, 12878.790610, 15499.046811, 3416.845462, 2787.551007, 18220.226623, 16485.085364, 
384, 8.585, 6597.667942, 13463.901118, 17824.941065, 3761.582334, 3421.424040, 20919.630955, 18632.732648, 
480, 8.907, 6387.054170, 15611.026299, 18813.865058, 4880.735202, 4446.396224, 21660.919674, 19066.816674, 
640, 9.322, 6961.098917, 16325.614772, 19971.586657, 3326.004065, 2474.602498, 23608.663734, 21047.860648, 
768, 9.585, 7444.737801, 16295.218071, 20498.284871, 4102.648273, 3049.679735, 24443.478673, 20811.402911, 
800, 9.644, 6582.453779, 18391.026956, 20372.652589, 4300.137801, 3200.119256, 23010.332861, 20523.151773, 
2400, 11.229, 6093.111693, 13920.614858, 0.000000, 2898.163889, 2436.028727, 23294.885974, 21568.057044, 
9216, 13.170, 6594.025470, 15188.206162, 0.000000, 2577.839184, 2277.047576, 21507.745378, 19426.040291, 
