size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1987273518, 30.888, 0.156001, 0.154115, 0.150002, 0.154731, 0.156353, 0.151091, 0.152096, 
30208, 14.883, 0.151296, 0.152445, 0.151704, 0.153553, 0.157578, 0.150961, 0.151298, 
192, 7.585, 0.153246, 0.150578, 0.151090, 0.160630, 0.157514, 0.150615, 0.150931, 
384, 8.585, 0.153757, 0.150690, 0.150408, 0.154105, 0.158837, 0.150672, 0.151665, 
480, 8.907, 0.152978, 0.151658, 0.151807, 0.153993, 0.152132, 0.150938, 0.151764, 
640, 9.322, 0.150670, 0.152045, 0.150546, 0.157671, 0.155407, 0.151047, 0.151153, 
768, 9.585, 0.154567, 0.150060, 0.150868, 0.157770, 0.153287, 0.150056, 0.150326, 
800, 9.644, 0.153916, 0.151495, 0.150968, 0.151462, 0.158298, 0.150960, 0.151624, 
2400, 11.229, 0.152258, 0.150566, 0.150566, 0.154126, 0.155155, 0.150451, 0.151345, 
9216, 13.170, 0.154616, 0.152155, 0.152155, 0.158201, 0.164174, 0.150111, 0.150452, 
