size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.001000, 0.055000, 0.023000, 0.005000, 0.002000, 0.001000, 0.001000, 
32, 5.000, 0.001000, 0.273000, 6.751000, 0.002000, 0.003000, 0.002000, 0.001000, 
64, 6.000, 0.002000, 0.424000, 20.899000, 0.004000, 0.005000, 0.001000, 0.001000, 
128, 7.000, 0.002000, 0.463000, 52.834000, 0.002000, 0.009000, 0.002000, 0.002000, 
256, 8.000, 0.003000, 1.022000, 115.316000, 0.002000, 0.012000, 0.003000, 0.001000, 
512, 9.000, 0.006000, 1.289000, 175.342000, 0.002000, 0.020000, 0.003000, 0.003000, 
1024, 10.000, 0.008000, 2.088000, 271.489000, 0.004000, 0.035000, 0.005000, 0.005000, 
2048, 11.000, 0.016000, 2.425000, 353.593000, 0.007000, 0.066000, 0.009000, 0.009000, 
4096, 12.000, 0.034000, 2.955000, 2.955000, 0.013000, 0.143000, 0.018000, 0.016000, 
8192, 13.000, 0.088000, 3.273000, 3.273000, 0.037000, 0.285000, 0.058000, 0.030000, 
16384, 14.000, 0.142000, 3.636000, 3.636000, 0.040000, 0.510000, 0.085000, 0.076000, 
32768, 15.000, 0.290000, 4.225000, 4.225000, 0.079000, 1.108000, 0.161000, 0.114000, 
65536, 16.000, 0.619000, 5.117000, 5.117000, 0.158000, 2.194000, 0.314000, 0.248000, 
131072, 17.000, 1.142000, 6.202000, 6.202000, 0.344000, 4.394000, 0.627000, 0.449000, 
262144, 18.000, 2.342000, 7.488000, 7.488000, 0.666000, 8.894000, 1.339000, 0.894000, 
524288, 19.000, 4.659000, 8.829000, 8.829000, 1.292000, 17.846000, 2.603000, 1.883000, 
1048576, 20.000, 8.549000, 15.787000, 15.787000, 2.498000, 34.427000, 4.557000, 3.567000, 
