size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.907217, 0.301508, 0.314325, 0.348088, 0.903067, 0.887639, 1.000000, 
32, 5.000, 1.632507, 1.170909, 0.661657, 1.932039, 1.563750, 0.851981, 1.000000, 
64, 6.000, 1.866437, 1.535002, 1.033118, 2.768229, 3.137669, 0.857305, 1.000000, 
128, 7.000, 2.349698, 1.290769, 1.012432, 2.828558, 3.425664, 0.890567, 1.000000, 
256, 8.000, 2.292072, 1.309695, 0.983484, 3.841663, 4.848055, 0.833547, 1.000000, 
512, 9.000, 2.906020, 1.356744, 1.014446, 4.094407, 4.507221, 0.886690, 1.000000, 
1024, 10.000, 2.947208, 1.521831, 1.078334, 4.216992, 5.657093, 0.885335, 1.000000, 
2048, 11.000, 3.112937, 1.400627, 1.005111, 4.575243, 4.799759, 0.896176, 1.000000, 
4096, 12.000, 3.125205, 1.504923, 1.504923, 4.553307, 5.537633, 0.922901, 1.000000, 
8192, 13.000, 2.695629, 1.201097, 1.201097, 3.364386, 3.613989, 0.904335, 1.000000, 
16384, 14.000, 2.702288, 1.133494, 1.133494, 3.744272, 4.138945, 0.909646, 1.000000, 
32768, 15.000, 2.700686, 1.196197, 1.196197, 3.575302, 3.544720, 0.913509, 1.000000, 
65536, 16.000, 2.739314, 1.255784, 1.255784, 3.465726, 4.070445, 0.922327, 1.000000, 
131072, 17.000, 2.420066, 1.091779, 1.091779, 3.041989, 3.305886, 0.929346, 1.000000, 
262144, 18.000, 1.936127, 0.829012, 0.829012, 2.245415, 3.015296, 0.898299, 1.000000, 
524288, 19.000, 1.825972, 0.968579, 0.968579, 2.086563, 2.945792, 0.891242, 1.000000, 
1048576, 20.000, 1.894746, 0.919567, 0.919567, 2.380647, 3.638064, 0.900161, 1.000000, 
