size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 1449682.000000, 4126018.000000, 3902990.000000, 3568448.000000, 1449682.000000, 1449682.000000, 1226654.000000, 
32, 5.000, 713680.000000, 1025915.000000, 1784200.000000, 624470.000000, 758285.000000, 1382755.000000, 1204335.000000, 
64, 6.000, 464625.000000, 557550.000000, 817740.000000, 315945.000000, 278775.000000, 985005.000000, 854910.000000, 
128, 7.000, 207090.000000, 374355.000000, 477900.000000, 175230.000000, 143370.000000, 549585.000000, 485865.000000, 
256, 8.000, 118456.000000, 205556.000000, 275236.000000, 73164.000000, 55744.000000, 324012.000000, 271752.000000, 
512, 9.000, 49536.000000, 103716.000000, 139320.000000, 35604.000000, 32508.000000, 159444.000000, 140868.000000, 
1024, 10.000, 24360.000000, 46632.000000, 65424.000000, 16704.000000, 12528.000000, 80040.000000, 70992.000000, 
2048, 11.000, 10428.000000, 23068.000000, 31916.000000, 7268.000000, 6952.000000, 35708.000000, 32232.000000, 
4096, 12.000, 4495.000000, 9280.000000, 9280.000000, 3190.000000, 2610.000000, 15225.000000, 14065.000000, 
8192, 13.000, 1943.000000, 4355.000000, 4355.000000, 1608.000000, 1474.000000, 5829.000000, 5226.000000, 
16384, 14.000, 930.000000, 2232.000000, 2232.000000, 682.000000, 620.000000, 2790.000000, 2542.000000, 
32768, 15.000, 420.000000, 952.000000, 952.000000, 322.000000, 322.000000, 1246.000000, 1134.000000, 
65536, 16.000, 198.000000, 426.000000, 426.000000, 156.000000, 132.000000, 576.000000, 528.000000, 
131072, 17.000, 87.000000, 189.000000, 189.000000, 69.000000, 63.000000, 222.000000, 207.000000, 
262144, 18.000, 36.000000, 85.000000, 85.000000, 32.000000, 24.000000, 78.000000, 70.000000, 
524288, 19.000, 17.000000, 32.000000, 32.000000, 15.000000, 11.000000, 35.000000, 31.000000, 
1048576, 20.000, 8.000000, 17.000000, 17.000000, 7.000000, 5.000000, 17.000000, 15.000000, 
