size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 2871.261528, 8639.405337, 8287.152810, 7483.327282, 2884.454973, 2934.597511, 2604.862135, 
32, 5.000, 3797.963134, 5295.181811, 9370.675280, 3209.137101, 3964.940718, 7277.370630, 6200.162168, 
64, 6.000, 5733.309340, 6971.235812, 10357.899737, 3865.607994, 3410.439392, 12481.995842, 10700.865756, 
128, 7.000, 6139.085784, 11175.446289, 14247.918705, 5099.785622, 4210.876335, 16197.548797, 14425.002651, 
256, 8.000, 7995.922505, 13993.534327, 18634.898839, 4770.633453, 3780.330470, 21987.149721, 18327.398031, 
512, 9.000, 7428.707261, 15911.683580, 21280.522942, 5272.564693, 4789.667914, 24346.790027, 21587.816740, 
1024, 10.000, 8152.482548, 15788.119689, 22281.481481, 5697.643649, 4247.201457, 27138.671823, 24027.065224, 
2048, 11.000, 7712.879994, 17141.968070, 23887.640551, 5247.700522, 5002.288700, 26791.108506, 24009.764175, 
4096, 12.000, 7312.010273, 15184.409808, 0.000000, 5018.656697, 4126.620260, 24760.586308, 22851.533742, 
8192, 13.000, 6869.500760, 15417.015590, 0.000000, 5503.952277, 5123.877269, 20476.487136, 18517.654167, 
16384, 14.000, 7106.770965, 16942.907748, 0.000000, 5129.031403, 4639.966590, 21112.259750, 19204.570043, 
32768, 15.000, 6868.733114, 15507.315424, 0.000000, 5188.345441, 5233.120177, 20306.299113, 18550.023296, 
65536, 16.000, 6732.190041, 14685.648683, 0.000000, 5321.093249, 4530.583098, 19994.431033, 18441.413896, 
131072, 17.000, 6311.221774, 13989.500791, 0.000000, 5020.948101, 4620.102290, 16434.841753, 15273.532988, 
262144, 18.000, 5659.782364, 13218.302859, 0.000000, 4880.250291, 3634.158965, 12198.644279, 10958.179285, 
524288, 19.000, 5601.219306, 10559.257993, 0.000000, 4901.688110, 3471.929938, 11475.670303, 10227.654969, 
1048576, 20.000, 5469.523375, 11269.807110, 0.000000, 4353.105281, 2848.601746, 11512.840849, 10363.334475, 
