size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.161566, 0.152826, 0.150710, 0.152593, 0.160827, 0.158079, 0.150691, 
32, 5.000, 0.150329, 0.154996, 0.152322, 0.155673, 0.152998, 0.152006, 0.155394, 
64, 6.000, 0.155596, 0.153559, 0.151581, 0.156926, 0.156944, 0.151515, 0.153392, 
128, 7.000, 0.151124, 0.150071, 0.150267, 0.153934, 0.152533, 0.152007, 0.150896, 
256, 8.000, 0.151701, 0.150419, 0.151244, 0.157044, 0.150997, 0.150901, 0.151835, 
512, 9.000, 0.153635, 0.150180, 0.150839, 0.155582, 0.156375, 0.150886, 0.150344, 
1024, 10.000, 0.152988, 0.151225, 0.150336, 0.150105, 0.151025, 0.151004, 0.151279, 
2048, 11.000, 0.152292, 0.151580, 0.150497, 0.156005, 0.156543, 0.150130, 0.151214, 
4096, 12.000, 0.151079, 0.150197, 0.150197, 0.156212, 0.155438, 0.151115, 0.151264, 
8192, 13.000, 0.150609, 0.150415, 0.150415, 0.155566, 0.153180, 0.151580, 0.150275, 
16384, 14.000, 0.150082, 0.151086, 0.151086, 0.152499, 0.153248, 0.151561, 0.151806, 
32768, 15.000, 0.150274, 0.150873, 0.150873, 0.152524, 0.151219, 0.150799, 0.150238, 
65536, 16.000, 0.154198, 0.152085, 0.152085, 0.153707, 0.152753, 0.151037, 0.150110, 
131072, 17.000, 0.153580, 0.150518, 0.150518, 0.153106, 0.151921, 0.150493, 0.150994, 
262144, 18.000, 0.150067, 0.151714, 0.151714, 0.154700, 0.155808, 0.150857, 0.150710, 
524288, 19.000, 0.151168, 0.150942, 0.150942, 0.152419, 0.157803, 0.151909, 0.150966, 
1048576, 20.000, 0.153370, 0.158173, 0.158173, 0.168616, 0.184051, 0.154834, 0.151772, 
